รหัสสินค้า,ชื่อสินค้า,variant,expected,counted
025-001,"โนริโตะ สาหร่ายแผ่นทอดกรอบ",,0.0000,
030-07,"ซอฟท์ เซ้นท์ ผ้าอนามัย กลางวัน ผิวนุ่ม (สีฟ้า)",,0.0000,
030-08,"ซอฟท์ เซ้นซ์ ผ้าอนามัย กลางวัน ผิวแห้ง (สีชมพู)",,0.0000,
030-09,"ซอฟท์ เซ้นซ์ ผ้าอนามัย กลางคืน (สีม่วง)",,0.0000,
030001,"สบู่ปัณพร มะขามน้ำผึ้ง (สีน้ำตาล)",,0.0000,
030002,"สบู่ปัณพร น้ำนมข้าวผสมน้ำผึ้ง (สีชมพู)",,0.0000,
030003,"สบู่ปัณพร มะละกอผสมน้ำผึ้ง (สีส้ม)",,0.0000,
1016,"เมจิกฟาร์มเฟรช เฉาก๊วย 240มล",,0.0000,
20001,"สบู่แก่นแก้ว มังคุดดั้งเดิม",,0.0000,
20002,"สบู่แก่นแก้ว มังคุดอ่อนโยน",,0.0000,
20003,"สบู่แก่นแก้ว มังคุดอินเตอร์",,0.0000,
20004,"สบู่แก่นแก้ว น้ำนมข้าว",,0.0000,
A002,"อาชาศึก สีฟ้า",,0.0000,
A003,"อาชาศึก สีเหลือง",,97.0000,
ARCHA001,"อาชาศึก สีแดง",,-100.0000,
BW180G,"โมเดิร์นแคร์ เบบี้ไวพ์ ทิชชู่เปียกสำหรับเด็ก 20แผ่น",,0.0000,
EN12780,"โมเดิร์นแคร์ เปลโยกดนตรี รุ่น เซอร์คัส",,0.0000,
SL5077,"รถเข็นเด็ก โมเดิร์นแคร์ รุ่นแม็กซี่ สีแดง",,0.0000,
SL5251,"รถเข็นเด็กปั๊กกี้คิว สีฟ้า",,-192.0000,
SL5266,"รถเข็นเด็กปั๊กกี้คิว สีชมพู",,-19.0000,
WK3076,"รถหัดเดิน โมเดิร์นแคร์ รุ่นดีลักซ์ 4in1 สีชมพู",,0.0000,
