Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
Product 11,PR-11,code128,Guess,C1,pc,pc,dozen,90,100,20,No Tax,exclusive,no_image.png,SC1,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
V60 Coffee Mill Olive Wood,MCW-2-OV,4977642707375,Hario,,,,,,"5,690",,,,,,,,,,,,
V60 Aluminium Single Stand Silver,VSA-1SV,4977642021372,Hario,,,,,,"2,480",,,,,,,,,,,,
V60 Aluminium Single Stand Black,VSA-1B,4977642021396,Hario,,,,,,"2,970",,,,,,,,,,,,
V60 Aluminium Single Stand Gold,VSA-1GD,4977642021389,Hario,,,,,,"3,470",,,,,,,,,,,,
VIG-02T V60 Glass Iced Coffee Maker,VIG-02T,4977642142671,Hario,,,,,,"2,940",,,,,,,,,,,,
Glass Coffee Dripper V60 02 Olive Wood,VDG-02-OV,4977642724549,Hario,,,,,,"2,340",,,,,,,,,,,,
Glass Coffee Dripper V60 01 Olive Wood,VDG-01-0V,4977642724532,Hario,,,,,,"2,050",,,,,,,,,,,,
V60 Drip Kettle Buono Copper New,VKBN-90CP,4977642021099,Hario,,,,,,"5,760",,,,,,,,,,,,
V60 Drip Thermometer,VTM-1B,4977642021181,Hario,,,,,,"3,960",,,,,,,,,,,,
V60 120 Coffee drip Kettle 'Bruno',VKB-120HSV,4977642021006,Hario,,,,,,"1,990",,,,,,,,,,,,
V60 100 Coffee drip Kettle 'Bruno',VKB-100HSV,4977642021136,Hario,,,,,,"1,940",,,,,,,,,,,,
Paper Filter White for 01 Dripper 100sheets,VCF-01-100W,4977642723313,Hario,,,,,,150,,,,,,,,,,,,
Paper Filter White for 02 Dripper 100sheets,VCF-02-100W,4977642723320,Hario,,,,,,170,,,,,,,,,,,,
Paper Filter White for 03 Dripper 100sheets,VCF-03-100W,4977642723337,Hario,,,,,,230,,,,,,,,,,,,
Paper Filter Misarashi for 01 Dripper 100sheets,VCF-01-100M,4977642723344,Hario,,,,,,170,,,,,,,,,,,,
Paper Filter Misarashi for 02 Dripper 100sheets,VCF-02-100M,4977642723351,Hario,,,,,,190,,,,,,,,,,,,
Paper Filter Misarashi for 03 Dripper 100sheets,VCF-03-100M,4977642723368,Hario,,,,,,250,,,,,,,,,,,,
Dry Bitter Orange Flavoured Syrup 750 ml.,DVC-MIX-08,9556592173352,Davinici,,,,,,350,,,,,,,,,,,,
Peach Garden Flavoured Syrup 750 ml.,DVC-MIX-10,9556592172164,Davinici,,,,,,350,,,,,,,,,,,,
Raspberry Flavoured Syrup 750 ml.,DVC-MIX-11,9556592163940,Davinici,,,,,,350,,,,,,,,,,,,
Strawberry Flavoured Syrup 750 ml.,DVC-MIX-09,9556592172355,Davinici,,,,,,350,,,,,,,,,,,,
Majestic Mango Flavoured 750 ml.,DVC-MIX-07,9556592173369,Davinici,,,,,,350,,,,,,,,,,,,
Pomelo Grapefruit Syrup 750 ml.,DVC-MIX-12,9556592529340,Davinici,,,,,,350,,,,,,,,,,,,
Caramel,DVC-01-1,9556592513295,Davinici,,,,,,330,,,,,,,,,,,,
White Chocolate,DVC-20-1,9556592513349,Davinici,,,,,,330,,,,,,,,,,,,
Strawberry,DVC-05-1,9556592513318,Davinici,,,,,,330,,,,,,,,,,,,
Blue Sky,DVC-34-1,9556592513288,Davinici,,,,,,330,,,,,,,,,,,,
Vanilla,DVC-23-1,9556592513332,Davinici,,,,,,330,,,,,,,,,,,,
NexCoffee 500g,CB-NEX,8852999810014,Nex,,,,,,300,,,,,,,,,,,,
Nex Light 500 g,CB-NEX-LT,8852999810113,Nex,,,,,,300,,,,,,,,,,,,
Paradiso Classic 500g,CB-P1,8852999810052,Paradiso,,,,,,285,,,,,,,,,,,,
Paradiso Light 500g,CB-P2,8852999810069,Paradiso,,,,,,275,,,,,,,,,,,,
Water Drip Coffee Maker (rectangle Base) 750 ml,HG2713,4715660727131,Tiamo,,,,,,"7,800",,,,,,,,,,,,
Water Drip Coffee Maker 10 cups,HG6333,4715660763337,Tiamo,,,,,,"12,000",,,,,,,,,,,,
Water Drip Coffee Maker 10 cups,HG6331,4715660763313,Tiamo,,,,,,"8,200",,,,,,,,,,,,
Water Drip Coffee Maker 10 cups,HG2605,4715660726059,Tiamo,,,,,,"9,800",,,,,,,,,,,,
1328 Tampering Corner Mat ,BC2400,4715660324002,Tiamo,,,,,,800,,,,,,,,,,,,
acaia pearl,AC-P,8852673996384,Acaia ,,,,,,"5,050",,,,,,,,,,,,
Acaia Lunar ,AC-LN,0680474008070,Acaia ,,,,,,"7,850",,,,,,,,,,,,
Acaia Pearl Black,AC-P2,0852673996421,Acaia ,,,,,,"5,350",,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml White,LRM-EG-BWH-300,8801880214011,LOVERAMICS,,,,,,410,,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml Black,LRM-EG-BBK-300,8821882214888,LOVERAMICS,,,,,,410,,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml Brown,LRM-EG-BBR-300,8805880614574,LOVERAMICS,,,,,,410,,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml Denim,LRM-EG-BDE-300,8807880814978,LOVERAMICS,,,,,,410,,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml Red,LRM-EG-BRE-300,8809881014258,LOVERAMICS,,,,,,410,,,,,,,,,,,,
Caf? Latte Egg Cup Set 300 ml Yellow,LRM-EG-BYE-300,8811881214002,LOVERAMICS,,,,,,410,,,,,,,,,,,,
