Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"ท่อ PVC บานหัว ช้าง 1-1/4"" (5)",130002100401,code128,ไม่ระบุ,13,004,004,,53.46,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 1-1/2"" (5)",130002100501,code128,ไม่ระบุ,13,004,004,,64.8,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 2"" (5)",130002100601,code128,ไม่ระบุ,13,004,004,,97.2,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 2-1/2"" (5)",130002100701,code128,ไม่ระบุ,13,004,004,,157.95,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 3"" (5)",130002100801,code128,ไม่ระบุ,13,004,004,,214.65,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 4"" (5)",130002100901,code128,ไม่ระบุ,13,004,004,,344.25,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 5"" (5)",130002101001,code128,ไม่ระบุ,13,004,004,,526.5,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 6"" (5)",130002101101,code128,ไม่ระบุ,13,004,004,,733.05,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 8"" (5)",130002101201,code128,ไม่ระบุ,13,004,004,,1097.55,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ท่อ PVC บานหัว ช้าง 10"" (5)",130002101301,code128,ไม่ระบุ,13,004,004,,1579.5,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
