Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
กพ-Sosuco 12x12 ชานฟ้าสวย-เนื้อ (A),0800101000101,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ดอกเวียงใต้ - น้ำเงิน(A),0800101000201,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ดอกเวียงใต้-ส้ม (A),0800101000301,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 พอร์ซเลน-ขาว (B),0800101000401,code128,ไม่ระบุ,08,010,010,,0,172,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 มณีหกทิศ-เทา (A),0800101000501,code128,ไม่ระบุ,08,010,010,,126,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 มณีหกทิศ-เนื้อ (A),0800101000601,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ลานพลอยงาม-ดำ (A),0800101000701,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ลานพลอยมณี-เขียว(A),0800101000801,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 สวนบาหลี-ขาว (B),0800101000901,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 อิฐดลใจ-เทา (B),0800101001001,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 อิฐเนื้อนิล - ดำ (B),0800101001101,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 อิฐเนื้อนิล-น้ำตาล (B),0800101001201,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 เพลินสวนสวย-น้ำตาล (A),0800101001301,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ลานนัดพบ-ฟ้า (A),0800101001401,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
กพ-Sosuco 12x12 ไอผิวนวล-เทาอ่อน (B),0800101001501,code128,ไม่ระบุ,08,010,010,,0,183,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
