Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"ไม้ยาง 2""x1""x1.00 ม.",0200100021000,code128,ไม่ระบุ,02,007,007,,22.47,30,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x1.50 ม.",0200100021500,code128,ไม่ระบุ,02,007,007,,33.71,45,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x2.00 ม.",0200100022000,code128,ไม่ระบุ,02,007,007,,44.94,60,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x2.50 ม.",0200100022500,code128,ไม่ระบุ,02,007,007,,56.18,75,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x3.00 ม.",0200100023000,code128,ไม่ระบุ,02,007,007,,67.41,90,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x3.50 ม.",0200100023500,code128,ไม่ระบุ,02,007,007,,78.65,105,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x4.00 ม.",0200100024000,code128,ไม่ระบุ,02,007,007,,89.88,120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x4.50 ม.",0200100024500,code128,ไม่ระบุ,02,007,007,,101.12,135,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x5.00 ม.",0200100025000,code128,ไม่ระบุ,02,007,007,,112.35,150,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x5.50 ม.",0200100025500,code128,ไม่ระบุ,02,007,007,,123.59,165,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 2""x1""x6.00 ม.",0200100026000,code128,ไม่ระบุ,02,007,007,,134.82,180,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x1.00 ม.",0200100031000,code128,ไม่ระบุ,02,007,007,,52.43,65,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x1.50 ม.",0200100031500,code128,ไม่ระบุ,02,007,007,,78.65,98,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x2.00 ม.",0200100032000,code128,ไม่ระบุ,02,007,007,,104.86,130,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x2.50 ม.",0200100032500,code128,ไม่ระบุ,02,007,007,,131.08,163,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x3.00 ม.",0200100033000,code128,ไม่ระบุ,02,007,007,,157.29,195,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x3.50 ม.",0200100033500,code128,ไม่ระบุ,02,007,007,,183.51,228,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x4.00 ม.",0200100034000,code128,ไม่ระบุ,02,007,007,,209.72,260,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x4.50 ม.",0200100034500,code128,ไม่ระบุ,02,007,007,,235.94,293,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""x1.5""x5.00 ม.",0200100035000,code128,ไม่ระบุ,02,007,007,,262.15,325,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""X1.5""X5.50 ม.",0200100035500,code128,ไม่ระบุ,02,007,007,,288.37,358,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้ยาง 3""X1.5""X6.00 ม.",0200100036000,code128,ไม่ระบุ,02,007,007,,314.58,390,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 2""x1""x1.00 ม.",0200200021000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 2""x1""x1.50 ม.",0200200021500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 2""x1""x2.00 ม.",0200200022000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 2""x1""x2.50 ม.",0200200022500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
