Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
ถังน้ำบนดิน 700 ลิตร(WT),1500010040001,code128,ไม่ระบุ,15,054,054,,2150,2761,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 1000 ลิตร(WT),1500010070001,code128,ไม่ระบุ,15,054,054,,2600,3371,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 1500 ลิตร(WT),1500010100001,code128,ไม่ระบุ,15,054,054,,3750,4815,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 2000 ลิตร(WT),1500010120001,code128,ไม่ระบุ,15,054,054,,4600,5885,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 3000 ลิตร (WT),1500010140001,code128,ไม่ระบุ,15,054,054,,7000,8988,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 5000 ลิตร (WT),1500010150001,code128,ไม่ระบุ,15,054,054,,14000,17976,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 1500 ลิตร ทรงสูง(WIN)  ,1500020100002,code128,ไม่ระบุ,15,054,054,,3200,4708,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 2000 ลิตร ทรงสูง(WIN)  ,1500020120002,code128,ไม่ระบุ,15,054,054,,4200,5885,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำDOS 1000 ลิตร สีน้ำเงิน,1500030070100,code128,ไม่ระบุ,15,054,054,,2560,3285,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำDOS 1500 ลิตร สีเขียว,1500030100200,code128,ไม่ระบุ,15,054,054,,0,4708,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำDOS 2000 ลิตร สีเขียว,1500030120200,code128,ไม่ระบุ,15,054,054,,4790,5885,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 1000 ลิตร(P&S),1500010070003,code128,ไม่ระบุ,15,054,054,,2375,3050,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 1500 ลิตร(P&S),1500010100003,code128,ไม่ระบุ,15,054,054,,3325,4280,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 2000 ลิตร(P&S),1500010120003,code128,ไม่ระบุ,15,054,054,,4275,5511,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 3000 ลิตร (P&S),1500010140003,code128,ไม่ระบุ,15,54,054,,6175,7918,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดิน 5000 ลิตร (P&S),1500010150003,code128,ไม่ระบุ,15,054,054,,9975,12840,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  600 ลิตร ทรงบอลลูน P&S,1500040030003,code128,ไม่ระบุ,15,054,054,,2300,2700,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  800 ลิตร ทรงบอลลูน P&S,1500040060003,code128,ไม่ระบุ,15,054,054,,2500,2850,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  1000 ลิตร ทรงบอลลูน P&S,1500040070003,code128,ไม่ระบุ,15,054,054,,2700,3200,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  1200 ลิตร ทรงบอลลูน P&S,1500040090003,code128,ไม่ระบุ,15,054,054,,2850,3478,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย 1600 ลิตร ทรงบอลลูน P&S,1500040110003,code128,ไม่ระบุ,15,054,054,,3600,4050,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  2000 ลิตร ทรงบอลลูน P&S,1500040120003,code128,ไม่ระบุ,15,054,054,,4186,5243,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังบำบัดน้ำเสีย  3000 ลิตร ทรงบอลลูน P&S,1500040140003,code128,ไม่ระบุ,15,054,054,,6175,7169,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ฝาถังบำบัดน้ำเสีย P&S,1500050000003,code128,ไม่ระบุ,15,054,054,,350,428,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังเก็บน้ำฝังดิน 1600 ลิตร ทรงบอลลูน,1500060110000,code128,ไม่ระบุ,15,054,054,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดินกันตะไคร่750ลิตร สีเขียว(POLEYTEC),1500070050204,code128,ไม่ระบุ,15,054,054,,3200,4120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดินกันตะไคร่750ลิตร สีเทา(POLEYTEC),1500070050304,code128,ไม่ระบุ,15,054,054,,3200,4120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ถังน้ำบนดินกันตะไคร่750ลิตร สีแกรนิต(POLEYTEC),1500070050404,code128,ไม่ระบุ,15,054,054,,3200,4120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
